"","Interval","TileID","TotalSittingCapacity","TotalStandingCapacity","TotalCapacity"
"336",1970-01-01 01:30:00,"88a8a07507fffff",120,206,326
"337",1970-01-01 01:30:00,"88a8a07515fffff",120,206,326
"338",1970-01-01 01:30:00,"88a8a0751dfffff",60,103,163
"339",1970-01-01 01:30:00,"88a8a07521fffff",180,309,489
"340",1970-01-01 01:30:00,"88a8a07525fffff",180,309,489
"341",1970-01-01 01:30:00,"88a8a0752bfffff",180,309,489
"342",1970-01-01 01:30:00,"88a8a0752dfffff",180,309,489
"343",1970-01-01 01:30:00,"88a8a07531fffff",420,721,1141
"344",1970-01-01 01:30:00,"88a8a07533fffff",0,0,0
"345",1970-01-01 01:30:00,"88a8a07535fffff",120,206,326
"346",1970-01-01 01:30:00,"88a8a07537fffff",0,0,0
"347",1970-01-01 01:30:00,"88a8a07539fffff",300,515,815
"348",1970-01-01 01:30:00,"88a8a0753dfffff",120,206,326
"349",1970-01-01 01:30:00,"88a8a07543fffff",111,253,364
"350",1970-01-01 01:30:00,"88a8a07545fffff",111,253,364
"351",1970-01-01 01:30:00,"88a8a07547fffff",111,253,364
"352",1970-01-01 01:30:00,"88a8a07553fffff",120,206,326
"353",1970-01-01 01:30:00,"88a8a07557fffff",60,103,163
"354",1970-01-01 01:30:00,"88a8a07559fffff",111,253,364
"355",1970-01-01 01:30:00,"88a8a0755bfffff",120,206,326
"356",1970-01-01 01:30:00,"88a8a0755dfffff",111,253,364
"357",1970-01-01 01:30:00,"88a8a07561fffff",180,309,489
"358",1970-01-01 01:30:00,"88a8a07567fffff",180,309,489
"359",1970-01-01 01:30:00,"88a8a07569fffff",111,253,364
"360",1970-01-01 01:30:00,"88a8a0756bfffff",111,253,364
"361",1970-01-01 01:30:00,"88a8a0756dfffff",231,459,690
"362",1970-01-01 02:00:00,"88a8a02809fffff",0,0,0
"363",1970-01-01 02:00:00,"88a8a02a05fffff",120,206,326
"364",1970-01-01 02:00:00,"88a8a02a0bfffff",60,103,163
"365",1970-01-01 02:00:00,"88a8a02a0dfffff",60,103,163
"366",1970-01-01 02:00:00,"88a8a02a57fffff",60,103,163
"367",1970-01-01 02:00:00,"88a8a02a61fffff",60,103,163
"368",1970-01-01 02:00:00,"88a8a02a63fffff",120,206,326
"369",1970-01-01 02:00:00,"88a8a02a69fffff",120,206,326
"370",1970-01-01 02:00:00,"88a8a02a89fffff",60,103,163
"371",1970-01-01 02:00:00,"88a8a02a8bfffff",60,103,163
"372",1970-01-01 02:00:00,"88a8a02ac5fffff",60,103,163
"373",1970-01-01 02:00:00,"88a8a02ac7fffff",60,103,163
"374",1970-01-01 02:00:00,"88a8a03995fffff",60,103,163
"375",1970-01-01 02:00:00,"88a8a03997fffff",120,206,326
"376",1970-01-01 02:00:00,"88a8a039a1fffff",60,103,163
"377",1970-01-01 02:00:00,"88a8a039abfffff",120,206,326
"378",1970-01-01 02:00:00,"88a8a039adfffff",171,356,527
"379",1970-01-01 02:00:00,"88a8a039b9fffff",60,103,163
"380",1970-01-01 02:00:00,"88a8a039bbfffff",120,206,326
"381",1970-01-01 02:00:00,"88a8a06085fffff",60,103,163
"382",1970-01-01 02:00:00,"88a8a0608dfffff",120,206,326
"383",1970-01-01 02:00:00,"88a8a060a3fffff",60,103,163
"384",1970-01-01 02:00:00,"88a8a060abfffff",60,103,163
"385",1970-01-01 02:00:00,"88a8a060c1fffff",60,103,163
"386",1970-01-01 02:00:00,"88a8a060c3fffff",60,103,163
"387",1970-01-01 02:00:00,"88a8a060c7fffff",60,103,163
"388",1970-01-01 02:00:00,"88a8a060cbfffff",60,103,163
"389",1970-01-01 02:00:00,"88a8a06193fffff",60,103,163
"390",1970-01-01 02:00:00,"88a8a061a1fffff",60,103,163
"391",1970-01-01 02:00:00,"88a8a061a3fffff",60,103,163
"392",1970-01-01 02:00:00,"88a8a061a5fffff",171,356,527
